Tag_number,filename,Sample_ID,Sample_symbio,Sample_symbio2,Lineage
70_884,cat_3-Baum_S3_L003_R1_001_AGTG.nosymbio.fastq.bt2.bam,390_2015c,70_2014,70_2014,Pale
888,cat_1-Baum_S1_L003_R1_001_ACCA.nosymbio.fastq.bt2.bam,394_2015c,394_2015c,394_2015c,Pale
670,cat_7-Baum_S7_L003_R1_001_CTAC.nosymbio.fastq.bt2.bam,41_2015c,116_2015b,116_2015b,Pale
401,cat_4-Baum_S4_L003_R1_001_GTGA.nosymbio.fastq.bt2.bam,412_2015c,401_2014,401_2014,Pale
489,cat_2-Baum_S2_L003_R1_001_TCAG.nosymbio.fastq.bt2.bam,441_2015c,189_2015b,189_2015b,Pale
361b,cat_7-Baum_S7_L003_R1_001_ACCA.nosymbio.fastq.bt2.bam,517_2015c,267_2015b,267_2015b,Pale
364,cat_3-Baum_S3_L003_R1_001_TCAG.nosymbio.fastq.bt2.bam,527_2015c,364_2014,364_2014,Pale
451_871,cat_5-Baum_S5_L003_R1_001_AGTG.nosymbio.fastq.bt2.bam,65_2016a,141_2015b,141_2015b,Pale
790,cat_3-Baum_S3_L003_R1_001_CTAC.nosymbio.fastq.bt2.bam,90_2016a,286_2015b,286_2015b,Pale
659,cat_1-Baum_S1_L003_R1_001_TCAG.nosymbio.fastq.bt2.bam,105_2015b,105_2015b,105_2015b,Blue
812,12_Astrangia_Pool_2_S4_L007_R1_001_CTAC.nosymbio.fastq.bt2.bam,279_2015c,308_2015b,308_2015b,Red
119,cat_6-Baum_S6_L003_R1_001_TGTC.nosymbio.fastq.bt2.bam,35_2015b,35_2015b,35_2015b,Red
859,cat_3-Baum_S3_L003_R1_001_ACCA.nosymbio.fastq.bt2.bam,355_2015b,477_2015c,477_2015c,Pale
847,cat_3-Baum_S3_L003_R1_001_CATC.nosymbio.fastq.bt2.bam,511_2015c,343_2015b,343_2015b,Red
790,cat_2-Baum_S2_L003_R1_001_CTAC.nosymbio.fastq.bt2.bam,90_2016a,286_2015b,286_2015b,Pale
578b_1073,cat_1-Baum_S1_L003_R1_001_GACT.nosymbio.fastq.bt2.bam,97_2015c,27_2015a - Pre,27_2015a,Blue
5,16_Astrangia_Pool_2_S8_L007_R1_001_CTAC.nosymbio.fastq.bt2.bam,85_2015a,5_2015b,5_2015b,Red
