Unique_ID,sample_name,coral_tag,host_phylum,host_class,host_order,host_family,host_genus,host_species,Site,windward_leeward,Disturbance,Disturbance_cat,Species,expedition,tube_number,fastq_file_name,fastq_fwd_file_name,fastq_rev_file_name,Sequencing_run,Sequence_count,
64_2019,64_2019,982,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,40,leeward,2425.276063,High,Porites lobata,2019,64,64-2019_S217_L001_R1_001.fastq,64-2019_S217_L001_R1_001.fastq,64-2019_S217_L001_R2_001.fastq.gz,Starko_Shedd,34079,
68_2019,68_2019,993,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,40,leeward,2425.276063,High,Porites lobata,2019,68,68-2019_S221_L001_R1_001.fastq,68-2019_S221_L001_R1_001.fastq,68-2019_S221_L001_R2_001.fastq.gz,Starko_Shedd,65846,
69_2019,69_2019,1053,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,40,leeward,2425.276063,High,Porites lobata,2019,69,69-2019_S222_L001_R1_001.fastq,69-2019_S222_L001_R1_001.fastq,69-2019_S222_L001_R2_001.fastq.gz,Starko_Shedd,71960,
136_2016b,993_2016b,993,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,40,leeward,2425.276063,High,Porites lobata,2016b,136,c-334_S334_L001_R1_001.fastq,c-334_S334_L001_R1_001.fastq,c-334_S334_L001_R2_001.fastq.gz,run3,14373,
145_2016b,998_2016b,998,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,40,leeward,2425.276063,High,Porites lobata,2016b,145,c-340_S340_L001_R1_001.fastq,c-340_S340_L001_R1_001.fastq,c-340_S340_L001_R2_001.fastq.gz,run3,6741,
147_2016b,999_2016b,999,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,40,leeward,2425.276063,High,Porites lobata,2016b,147,c-342_S342_L001_R1_001.fastq,c-342_S342_L001_R1_001.fastq,c-342_S342_L001_R2_001.fastq.gz,run3,6421,
149_2016b,982_2016b,982,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,40,leeward,2425.276063,High,Porites lobata,2016b,149,c-344_S344_L001_R1_001.fastq,c-344_S344_L001_R1_001.fastq,c-344_S344_L001_R2_001.fastq.gz,run3,7715,
150_2016b,981_2016b,981,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,40,leeward,2425.276063,High,Porites lobata,2016b,150,c-345_S345_L001_R1_001.fastq,c-345_S345_L001_R1_001.fastq,c-345_S345_L001_R2_001.fastq.gz,run3,6938,
151_2016b,996_2016b,996_1379,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,40,leeward,2425.276063,High,Porites lobata,2016b,151,c-346_S346_L001_R1_001.fastq,c-346_S346_L001_R1_001.fastq,c-346_S346_L001_R2_001.fastq.gz,run3,17242,
153_2016b,984_2016b,984,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,40,leeward,2425.276063,High,Porites lobata,2016b,153,c-348_S348_L001_R1_001.fastq,c-348_S348_L001_R1_001.fastq,c-348_S348_L001_R2_001.fastq.gz,run3,9926,
154_2016b,985_2016b,985,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,40,leeward,2425.276063,High,Porites lobata,2016b,154,c-349_S349_L001_R1_001.fastq,c-349_S349_L001_R1_001.fastq,c-349_S349_L001_R2_001.fastq.gz,run3,8141,
205_2016a,988_2016a,988,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,30_Deep,leeward,NA,NA,Porites lobata,2016a,205,205-16A_S338_L001_R1_001.fastq,205-16A_S338_L001_R1_001.fastq,205-16A_S338_L001_R2_001.fastq.gz,Bleaching3_run,12098,
96_2015b,96_2015b,650,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,19,windward,0,Very Low,Porites lobata,2015b,96,15b-96_S373_L001_R1_001.fastq,15b-96_S373_L001_R1_001.fastq,15b-96_S373_L001_R2_001.fastq.gz,Shedd_2021,,Added
21_2015c,21_2015c,650,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,19,windward,0,Very Low,Porites lobata,2015c,21,15c-21_S303_L001_R1_001.fastq,15c-21_S303_L001_R1_001.fastq,15c-21_S303_L001_R2_001.fastq.gz,Shedd_2021,,Added
235_2015b,235_2015b,758,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,32,leeward,4860.745702,Very High,Porites lobata,2015b,235,15b-235_S128_L001_R1_001.fastq,15b-235_S128_L001_R1_001.fastq,15b-235_S128_L001_R2_001.fastq.gz,Shedd_2021,,Added
449_2015c,449_2015c,758,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,32,leeward,4860.745702,Very High,Porites lobata,2015c,449,15c-449_S332_L001_R1_001.fastq,15c-449_S332_L001_R1_001.fastq,15c-449_S332_L001_R2_001.fastq.gz,Shedd_2021,,Added
236_2014_2,236_2014_2,236,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2014,236,14-236-2_S340_L001_R1_001.fastq,14-236-2_S340_L001_R1_001.fastq,14-236-2_S340_L001_R2_001.fastq.gz,Shedd_2021,,Added
181_2015c,181_2015c,236,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2015c,181,15c-181_S325_L001_R1_001.fastq,15c-181_S325_L001_R1_001.fastq,15c-181_S325_L001_R2_001.fastq.gz,Shedd_2021,,Added
182_2018,182_2018,810c_1436,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,5,leeward,0,Very Low,Porites lobata,2018,182,18-182_S379_L001_R1_001.fastq,18-182_S379_L001_R1_001.fastq,18-182_S379_L001_R2_001.fastq.gz,Shedd_2021,,Added
